,0
1088,CCDC150
1089,CCDC167
1090,CCDC17
1091,CCDC174
1092,CCDC22
1093,CCDC25
1094,CCDC28A
1095,CCDC28B
1096,CCDC32
1097,CCDC43
1098,CCDC47
1099,CCDC50
1100,CCDC51
1101,CCDC57
1102,CCDC58
1103,CCDC59
1104,CCDC6
1105,CCDC61
1106,CCDC66
1107,CCDC69
1108,CCDC71L
1109,CCDC74A
1110,CCDC77
1111,CCDC78
1112,CCDC8
1113,CCDC82
1114,CCDC84
1115,CCDC85B
1116,CCDC85C
1117,CCDC86
1118,CCDC88A
1119,CCDC88B
1120,CCDC88C
1121,CCDC9
1122,CCDC90B
1123,CCDC91
1124,CCDC92
1125,CCDC93
1126,CCHCR1
1127,CCM2
1128,CCNA2
1129,CCNB1
1130,CCNB1IP1
1131,CCNB2
1132,CCNC
1133,CCND1
1134,CCND2
1135,CCND3
1136,CCNDBP1
1137,CCNE1
1138,CCNE2
1139,CCNF
1140,CCNG1
1141,CCNH
1142,CCNI
1143,CCNJ
1144,CCNK
1145,CCNL1
1146,CCNL2
1147,CCNO
1148,CCNQ
1149,CCNT1
1150,CCNT2
1151,CCNY
1152,CCP110
1153,CCPG1
1154,CCR10
1155,CCR5
1156,CCS
1157,CCSAP
1158,CCSER2
1159,CCT2
1160,CCT3
1161,CCT4
1162,CCT5
1163,CCT6A
1164,CCT7
1165,CCT8
1166,CCZ1
1167,CCZ1B
1168,CD151
1169,CD164
1170,CD226
1171,CD24
1172,CD276
1173,CD2AP
1174,CD2BP2
1175,CD320
1176,CD33
1177,CD3D
1178,CD3EAP
1179,CD46
1180,CD47
1181,CD52
1182,CD53
1183,CD55
1184,CD58
1185,CD59
1186,CD63
1187,CD68
1188,CD69
1189,CD7
1190,CD81
1191,CD8B
1192,CD9
1193,CD99
1194,CD99L2
1195,CDADC1
1196,CDAN1
1197,CDC123
1198,CDC14A
1199,CDC14B
1200,CDC16
1201,CDC20
1202,CDC23
1203,CDC25A
1204,CDC25B
1205,CDC25C
1206,CDC26
1207,CDC27
1208,CDC34
1209,CDC37
1210,CDC40
1211,CDC42
1212,CDC42BPA
1213,CDC42BPB
1214,CDC42EP1
1215,CDC42EP3
1216,CDC42EP4
1217,CDC42SE1
1218,CDC42SE2
1219,CDC45
1220,CDC5L
1221,CDC6
1222,CDC7
1223,CDC73
1224,CDCA2
1225,CDCA3
1226,CDCA4
1227,CDCA5
1228,CDCA7
1229,CDCA7L
1230,CDCA8
1231,CDH11
1232,CDIPT
1233,CDK1
1234,CDK10
1235,CDK11A
1236,CDK11B
1237,CDK12
1238,CDK13
1239,CDK16
1240,CDK17
1241,CDK19
1242,CDK2
1243,CDK2AP1
1244,CDK2AP2
1245,CDK4
1246,CDK5
1247,CDK5RAP1
1248,CDK5RAP2
1249,CDK5RAP3
1250,CDK6
1251,CDK7
1252,CDK8
1253,CDK9
1254,CDKAL1
1255,CDKL1
1256,CDKN1A
1257,CDKN1B
1258,CDKN1C
1259,CDKN2AIP
1260,CDKN2AIPNL
1261,CDKN2C
1262,CDKN2D
1263,CDKN3
1264,CDPF1
1265,CDR2
1266,CDR2L
1267,CDS2
1268,CDT1
1269,CDV3
1270,CDX1
1271,CDX2
1272,CDX4
1273,CDYL
1274,CEBPA
1275,CEBPB
1276,CEBPD
1277,CEBPE
1278,CEBPG
1279,CEBPZ
1280,CELF1
1281,CELF2
1282,CEMIP2
1283,CENPA
1284,CENPB
1285,CENPC
1286,CENPE
1287,CENPF
1288,CENPH
1289,CENPI
1290,CENPJ
1291,CENPK
1292,CENPL
1293,CENPM
1294,CENPN
1295,CENPO
1296,CENPP
1297,CENPQ
1298,CENPS
1299,CENPT
1300,CENPV
1301,CENPW
1302,CEP104
1303,CEP120
1304,CEP135
1305,CEP152
1306,CEP164
1307,CEP170
1308,CEP19
1309,CEP192
1310,CEP250
1311,CEP290
1312,CEP350
1313,CEP44
1314,CEP55
1315,CEP57
1316,CEP57L1
1317,CEP63
1318,CEP68
1319,CEP70
1320,CEP72
1321,CEP76
1322,CEP78
1323,CEP85
1324,CEP85L
1325,CEP89
1326,CEP95
1327,CEP97
1328,CEPT1
1329,CERCAM
1330,CERK
1331,CERS2
1332,CERS4
1333,CERS5
1334,CERS6
1335,CERT1
1336,CES2
1337,CETN2
1338,CETN3
1339,CFAP298
1340,CFAP410
1341,CFD
1342,CFDP1
1343,CFH
1344,CFL1
1345,CFL2
1346,CFLAR
1347,CGGBP1
1348,CH25H
1349,CHAC1
1350,CHAC2
1351,CHAF1A
1352,CHAF1B
1353,CHAMP1
1354,CHCHD1
1355,CHCHD10
1356,CHCHD2
1357,CHCHD3
1358,CHCHD4
1359,CHCHD5
1360,CHCHD6
1361,CHCHD7
1362,CHD1
1363,CHD1L
1364,CHD2
1365,CHD3
1366,CHD4
1367,CHD6
1368,CHD7
1369,CHD8
1370,CHD9
1371,CHDH
1372,CHEK1
1373,CHEK2
1374,CHERP
1375,CHFR
1376,CHI3L2
1377,CHIC2
1378,CHID1
1379,CHKA
1380,CHKB
1381,CHM
1382,CHML
1383,CHMP1A
1384,CHMP1B
1385,CHMP2A
1386,CHMP2B
1387,CHMP3
1388,CHMP4A
1389,CHMP4B
1390,CHMP5
1391,CHMP6
1392,CHMP7
1393,CHORDC1
1394,CHP1
1395,CHPF
1396,CHPF2
1397,CHPT1
1398,CHRAC1
1399,CHRNA5
1400,CHRNB1
1401,CHST10
1402,CHST11
1403,CHST12
1404,CHST2
1405,CHSY1
1406,CHTF18
1407,CHTF8
1408,CHTOP
1409,CHUK
1410,CHURC1
1411,CIAO1
1412,CIAO2A
1413,CIAO2B
1414,CIAO3
1415,CIAPIN1
1416,CIB1
1417,CIB2
1418,CIC
1419,CINP
1420,CIP2A
1421,CIR1
1422,CIRBP
1423,CISD1
1424,CISD2
1425,CISD3
1426,CISH
1427,CIT
1428,CITED1
1429,CITED2
1430,CIZ1
1431,CKAP2
1432,CKAP2L
1433,CKAP5
1434,CKB
1435,CKLF
1436,CKS1B
1437,CKS2
1438,CLASP1
1439,CLASP2
1440,CLASRP
1441,CLCA1
1442,CLCC1
1443,CLCN2
1444,CLCN3
1445,CLCN6
1446,CLCN7
1447,CLDN15
1448,CLDN6
1449,CLDN7
1450,CLDND1
1451,CLEC11A
1452,CLEC16A
1453,CLEC2B
1454,CLEC2D
1455,CLEC2L
1456,CLHC1
1457,CLIC1
1458,CLIC2
1459,CLIC4
1460,CLINT1
1461,CLIP1
1462,CLK1
1463,CLK2
1464,CLK3
1465,CLK4
1466,CLN3
1467,CLN5
1468,CLN6
1469,CLN8
1470,CLNS1A
1471,CLOCK
1472,CLP1
1473,CLPB
1474,CLPP
1475,CLPTM1
1476,CLPTM1L
1477,CLPX
1478,CLRN2
1479,CLSPN
1480,CLSTN1
1481,CLSTN3
1482,CLTA
1483,CLTB
1484,CLTC
1485,CLU
1486,CLUAP1
1487,CLUH
1488,CMAS
1489,CMBL
1490,CMC1
1491,CMC2
1492,CMC4
1493,CMIP
1494,CMPK1
1495,CMPK2
1496,CMSS1
1497,CMTM3
1498,CMTM4
1499,CMTM6
1500,CMTM7
1501,CMTR1
1502,CMTR2
1503,CNBD2
1504,CNBP
1505,CNDP2
1506,CNEP1R1
1507,CNIH1
1508,CNIH4
1509,CNN1
1510,CNN2
1511,CNNM3
1512,CNNM4
1513,CNOT1
1514,CNOT10
1515,CNOT11
1516,CNOT2
1517,CNOT3
1518,CNOT4
1519,CNOT6
1520,CNOT6L
1521,CNOT7
1522,CNOT8
1523,CNOT9
1524,CNP
1525,CNPPD1
1526,CNPY2
1527,CNPY3
1528,CNST
1529,CNTNAP2
1530,CNTRL
1531,CNTROB
1532,COA1
1533,COA3
1534,COA4
1535,COA5
1536,COA6
1537,COA8
1538,COASY
1539,COBL
1540,COCH
1541,COG1
1542,COG2
1543,COG3
1544,COG4
1545,COG5
1546,COG6
1547,COG7
1548,COG8
1549,COIL
1550,COL18A1
1551,COL1A1
1552,COL2A1
1553,COLEC11
1554,COLGALT1
1555,COLGALT2
1556,COMMD1
1557,COMMD10
1558,COMMD2
1559,COMMD3
1560,COMMD4
1561,COMMD5
1562,COMMD6
1563,COMMD7
1564,COMMD8
1565,COMMD9
1566,COMT
1567,COMTD1
1568,COP1
1569,COPA
1570,COPB1
1571,COPB2
1572,COPE
1573,COPG1
1574,COPG2
1575,COPRS
1576,COPS2
1577,COPS3
1578,COPS4
1579,COPS5
1580,COPS6
1581,COPS7A
1582,COPS7B
1583,COPS8
1584,COPS9
1585,COPZ1
1586,COQ10A
1587,COQ10B
1588,COQ2
1589,COQ3
1590,COQ4
1591,COQ5
1592,COQ6
1593,COQ7
1594,COQ8A
1595,COQ8B
1596,COQ9
1597,CORO1A
1598,CORO1B
1599,CORO1C
1600,CORO2A
1601,CORO7
1602,COTL1
1603,COX10
1604,COX11
1605,COX14
1606,COX15
1607,COX16
1608,COX17
1609,COX18
1610,COX19
1611,COX20
1612,COX4I1
1613,COX5A
1614,COX5B
1615,COX6A1
1616,COX6B1
1617,COX6C
1618,COX7A2
1619,COX7A2L
1620,COX7B
1621,COX7C
1622,COX8A
1623,CPAMD8
1624,CPD
1625,CPEB1
1626,CPEB4
1627,CPED1
1628,CPNE1
1629,CPNE2
1630,CPNE3
1631,CPNE7
1632,CPNE8
1633,CPOX
1634,CPPED1
1635,CPQ
1636,CPS1
1637,CPSF1
1638,CPSF2
1639,CPSF3
1640,CPSF4
1641,CPSF6
1642,CPSF7
1643,CPT1A
1644,CPT1C
1645,CPT2
1646,CPVL
1647,CPXM1
1648,CR1L
1649,CRADD
1650,CRAT
1651,CRBN
1652,CRCP
1653,CREB1
1654,CREB3
1655,CREB3L1
1656,CREB3L2
1657,CREB3L3
1658,CREB3L4
1659,CREB5
1660,CREBBP
1661,CREBL2
1662,CREBZF
1663,CREG1
1664,CRELD1
1665,CRELD2
1666,CREM
1667,CRIM1
1668,CRIPT
1669,CRK
1670,CRKL
1671,CRLF3
1672,CRLS1
1673,CRNKL1
1674,CRTAP
1675,CRTC2
1676,CRTC3
1677,CRX
1678,CRY1
1679,CRY2
1680,CRYAB
1681,CRYBG1
1682,CRYM
1683,CRYZ
1684,CRYZL1
1685,CS
1686,CSAD
